amazon_order_id,buyer_email,seller_sku,item_quantity,item_price,currency_code,order_status,purchase_date,integration_mode,notification_mode
AMAZ-10002,demo02@example.com,SKU-BLU-002,3,10200,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
AMAZ-10005,demo05@example.com,SKU-WHT-005,3,10500,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
AMAZ-10008,demo08@example.com,SKU-GRN-003,3,10800,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
AMAZ-10011,demo11@example.com,SKU-RED-001,3,11100,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
AMAZ-10014,demo14@example.com,SKU-BLK-004,3,11400,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
AMAZ-10017,demo17@example.com,SKU-BLU-002,3,11700,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
AMAZ-10020,demo20@example.com,SKU-WHT-005,3,12000,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
AMAZ-10023,demo23@example.com,SKU-GRN-003,3,12300,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
AMZN-CANCEL-01,cancel2@example.com,SKU-BLU-002,1,13000,KRW,cancelled,2026-09-01T09:00:00+09:00,normal,normal
AMZN-UNKNOWN-SKU,unknown@example.com,SKU-NOT-FOUND,1,11000,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
AMZN-LOW-STOCK,stock@example.com,SKU-LTD-006,5,11000,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
AMZN-BAD-CURRENCY,currency@example.com,SKU-WHT-005,1,11000,BTC,paid,2026-09-01T09:00:00+09:00,normal,normal
AMZN-API-FAIL,fail@example.com,SKU-GRN-003,1,15000,KRW,paid,2026-09-01T09:00:00+09:00,always_500,normal
AMAZ-10002,demo02@example.com,SKU-BLU-002,3,10200,KRW,paid,2026-09-01T09:00:00+09:00,normal,normal
